tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet,stemmed_tweet,cleaned_s
@USER She should ask a few native Americans what their take on this is.,1,0,-1,"['ask', 'native', 'americans', 'take']","['ask', 'nativ', 'american', 'take']",ask native americans take
@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,1,1,0,"['go', 'home', 'drunk', 'maga']","['go', 'home', 'drunk', 'maga']",go home drunk maga
"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",1,0,-1,"['someone', 'havetaken', 'piece', 'shit', 'volcano']","['someon', 'havetaken', 'piec', 'shit', 'volcano']",someone havetaken piece shit volcano
@USER Liberals are all Kookoo !!!,1,1,2,"['liberals', 'kookoo']","['liber', 'kookoo']",liberals kookoo
@USER @USER Oh noes! Tough shit.,1,0,-1,"['oh', 'noes', 'tough', 'shit']","['oh', 'noe', 'tough', 'shit']",oh noes tough shit
@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,1,1,1,"['literally', 'talking', 'lol', 'mass', 'shootings', 'like', 'set', 'ups', 'propaganda', 'used', 'divide', 'us', 'major', 'issues', 'like', 'gun', 'control', 'terrorism']","['liter', 'talk', 'lol', 'mass', 'shoot', 'like', 'set', 'up', 'propaganda', 'use', 'divid', 'us', 'major', 'issu', 'like', 'gun', 'control', 'terror']",literally talking lol mass shootings like set ups propaganda used divide us major issues like gun control terrorism
@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,1,1,0,"['canada', 'doesnt', 'need', 'another', 'cuck', 'already', 'enough', 'looneyleft', 'liberals', 'fking', 'great', 'country', 'qproofs', 'trudeaumustgo']","['canada', 'doesnt', 'need', 'anoth', 'cuck', 'alreadi', 'enough', 'looneyleft', 'liber', 'fking', 'great', 'countri', 'qproof', 'trudeaumustgo']",canada doesnt need another cuck already enough looneyleft liberals fking great country qproofs trudeaumustgo
@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,1,1,0,"['lying', 'corrupt', 'traitor', 'nobody', 'wants', 'hear', 'anymore', 'lies', 'deepstatecorruption']","['lie', 'corrupt', 'traitor', 'nobodi', 'want', 'hear', 'anymor', 'lie', 'deepstatecorrupt']",lying corrupt traitor nobody wants hear anymore lies deepstatecorruption
@USER @USER @USER gun control! That is all these kids are asking for!,1,1,2,"['gun', 'control', 'kids', 'asking']","['gun', 'control', 'kid', 'ask']",gun control kids asking
@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,1,1,0,"['lol', 'throwing', 'bullshit', 'flag', 'nonsense', 'putuporshutup', 'kavanaugh', 'maga', 'callthevotealready']","['lol', 'throw', 'bullshit', 'flag', 'nonsens', 'putuporshutup', 'kavanaugh', 'maga', 'callthevotealreadi']",lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready
@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,1,1,1,"['kind', 'like', 'conservatives', 'wan', 'na', 'associate', 'everyone', 'left', 'communist', 'antifa', 'members']","['kind', 'like', 'conserv', 'wan', 'na', 'associ', 'everyon', 'left', 'communist', 'antifa', 'member']",kind like conservatives wan na associate everyone left communist antifa members
@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,1,1,1,"['da', 'fuck', 'going', 'people', 'mens', 'room', 'womens', 'room', 'pick', 'one', 'stick', 'w']","['da', 'fuck', 'go', 'peopl', 'men', 'room', 'women', 'room', 'pick', 'one', 'stick', 'w']",da fuck going people mens room womens room pick one stick w
@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,1,1,0,"['tbh', 'days', 'like', 'people', 'general', 'connect', 'people', 'days', 'annoyance']","['tbh', 'day', 'like', 'peopl', 'gener', 'connect', 'peopl', 'day', 'annoy']",tbh days like people general connect people days annoyance
@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,1,0,-1,"['referring', 'hillary', 'know', 'tiresome', 'bernie', 'supporters', 'bashing', 'hillary', 'clinton', 'actual', 'democrat', 'raises', 'money', 'democratic', 'party', 'doesnt', 'bash', 'positive', 'message', 'dividing', 'left']","['refer', 'hillari', 'know', 'tiresom', 'berni', 'support', 'bash', 'hillari', 'clinton', 'actual', 'democrat', 'rais', 'money', 'democrat', 'parti', 'doesnt', 'bash', 'posit', 'messag', 'divid', 'left']",referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party doesnt bash positive message dividing left
The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,1,1,1,"['thing', 'democrats', 'lying', 'stalling', 'stop', 'trump', 'president', 'done', 'lately', 'trump', 'kavanaugh', 'maga', 'demsuck']","['thing', 'democrat', 'lie', 'stall', 'stop', 'trump', 'presid', 'done', 'late', 'trump', 'kavanaugh', 'maga', 'demsuck']",thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,1,1,0,"['smart', 'think', 'gen', 'flynns', 'sentencing', 'keeps', 'rescheduled']","['smart', 'think', 'gen', 'flynn', 'sentenc', 'keep', 'reschedul']",smart think gen flynns sentencing keeps rescheduled
@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,1,1,1,"['expected', 'placate', 'violent', 'leftiststerrorists', 'kavanaughconfirmation', 'woke']","['expect', 'placat', 'violent', 'leftiststerrorist', 'kavanaughconfirm', 'woke']",expected placate violent leftiststerrorists kavanaughconfirmation woke
4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,1,1,1,"['british', 'people', 'basically', 'fullon', 'racists', 'voters', 'vote', 'conservatives', 'coincidence']","['british', 'peopl', 'basic', 'fullon', 'racist', 'voter', 'vote', 'conserv', 'coincid']",british people basically fullon racists voters vote conservatives coincidence
@USER Fuck off,1,1,0,['fuck'],['fuck'],fuck
"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",1,1,2,"['prison', 'system', 'fucked', 'still', 'getting', 'away', 'potentially', 'murder', 'intent', 'prisoners', 'die', 'hurricane', 'louisiana', 'like', 'inmates', 'went', 'missing']","['prison', 'system', 'fuck', 'still', 'get', 'away', 'potenti', 'murder', 'intent', 'prison', 'die', 'hurrican', 'louisiana', 'like', 'inmat', 'went', 'miss']",prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like inmates went missing
@USER @USER She is useless.  Attempts to do the right thing but never follows through.,1,1,0,"['useless', 'attempts', 'right', 'thing', 'never', 'follows']","['useless', 'attempt', 'right', 'thing', 'never', 'follow']",useless attempts right thing never follows
@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,1,1,0,"['grateful', 'trump', 'doesnt', 'dog', 'white', 'house', 'cruel', 'man']","['grate', 'trump', 'doesnt', 'dog', 'white', 'hous', 'cruel', 'man']",grateful trump doesnt dog white house cruel man
@USER Trump kicks dem butt - its so fun.,1,1,0,"['trump', 'kicks', 'dem', 'butt', 'fun']","['trump', 'kick', 'dem', 'butt', 'fun']",trump kicks dem butt fun
@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,1,1,0,"['dumb', 'dumber', 'one', 'president', 'two', 'one']","['dumb', 'dumber', 'one', 'presid', 'two', 'one']",dumb dumber one president two one
@USER And this from the clown that should be in prison?,1,1,0,"['clown', 'prison']","['clown', 'prison']",clown prison
@USER Thats because you are an old man.,1,1,0,"['thats', 'old', 'man']","['that', 'old', 'man']",thats old man
@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,1,1,2,"['obstructionists', 'antiamerican', 'pharisees', 'ask', 'running', 'get', 'nothing', 'maga']","['obstructionist', 'antiamerican', 'pharise', 'ask', 'run', 'get', 'noth', 'maga']",obstructionists antiamerican pharisees ask running get nothing maga
