sentence	label
awaken many women country asinine top stupidity liberals today	1
traitor whoever	1
elmo antifa	0
yep fbi cia operating like kgbto conservativesmuch like robert kgb mueller	0
declare antifa terrorists group investigate members	0
people hold hold photo beating republican korean war vet amp photo antifa beating minorities lgbt kids conservative left left shutting free speech	0
possibility honoring womans request confidentiality thing conservatives capable grasping	0
lol escaped shit even regret watching minute loyalwolf	1
hplyk fuck	1
happy birthday namjoon thank always sharing thoughts feelings us beautiful person beautiful mind heart	0
child retarded one	1
dare questioning service little thing called vietnam war france surrendered vietnam snowflake supremo ho chi minh liberals jfk lbj went refused fight win go back vietnam finish fight restore draft	0
state rightcali chicago protected many strict gun control laws	1
get testy decide paid shill lot end hanging around qanon get used	1
noif polygrapher good easy tell difference nervous response deceptive one	0
tours include flights hotels	0
looked antifa recruitment centers welfare offices maybe one tents ca thought	0
lies top lies antifa democrats way	0
attorney general history held contempt	1
reason give aguearo slight edge kane creative clinical finishers het wrong	0
antifa task force	0
google needs broken upthey threat country	0
thank seeing light stopkanavaugh please vote ok help save democracy	0
average wage average house price thatcher charge ratio fundamental reason build many like genuinely affordable wasting resources	0
live canada already great gun control plus low homicide ratecoincidence thanks advice though	0
liberals want bert ernie gay wtaf	1
exactly hat true feckers detest	1
big nerd seems	1
real gun control issue	0
theyre expensive ass hell	1
isnt considered hate speech liberals republican said democrats msm would raising kinds hell hypocrisy expected	1
oh higher unemployment witch hunts lynch mobs antifa communist parades shit let hollywood decide feel	1
ourcountry saved evil slugs like hillary clinton deep state going personally wait hillary brought front military tribunal penalty treason death believe	1
smh nigga dat shit gone take us far u tweaked	1
crook	1
us conservatives gullible manny good points starts spewing us propaganda sickens asked term gave one rebuttal watch	0
hahahah man please pass along whatever smoking	0
isnt funny want gun control partner snoop dog	0
glad mia feeling better	0
liberals opposing liberalism	0
thanks following glad connected	0
hiya sexy p bolna xxx	1
ya finest moment hun try fix ya shit knock tweet away	1
trump want president therefore colluding russia presidency made attempt liberals like scjous	0
bs ford lyingthis everything delaying vote maga confirmkavanaughnow potus	1
antifa domestic terrorist organization leeches george soross money domestic terrorist organization uses intimidation amp violence spread ideology	1
nobody voices opinions country louder conservatives idk fuck	1
cant like legit watching ever move rehab	1
riots everywhere	0
mention jim seriously medical condition sjw tactic take sargon seriously become antifa	0
purely move block nomination liberals said early would vote made story slap face really sexually harassed shows liberals really dont care true victims power first	1
maga true many getting arrested	0
change fact muslim linda sarsour deliberately sows hate division fraud pretends support womens rights protest islams discrimination women	1
maga redwave baby	0
well opening night	0
interesting interpretation piece speaking tongueincheek relating psychiatric condition gun qualifications highlight ironic counterintuitive nature gun control laws thought well balanced insider piece	0
blowing dirt misery millions	1
best part read exchange thread year later dude comes back blm antifa caused nazis bullshit lmao best mean saddest	0
cutting man bun man	0
paid look twitter horrible	0
fault support gun control	0
antifa soy girl	0
favor watch still time spit kool aid pay attention happening right leaning conservatives brainwashed sickening	0
doubt losing much sleep guy busted flush years	1
best facts	0
gon na call bullshit one	1
gun safety reform exactly mean mean gun control	0
agreed great idea wish could also remove existence maga patriotsunited prolife proisrael weareq	1
think hoping someone somewhat soviet take care could get even uglier	1
disgraceful	0
eric ur jeff sessions	0
ahh tom right though v good	0
yet know actually antifa members far right pretending violent antifa make people like think dangerous hmm	0
bullshit	1
found gun control mass murder schools theatres oct anyone done joke yet	1
ass malfunction	1
agree obese people trying change way good luck lazy tessholliday opposite actively promoting good beautiful obese lazy greedy simple science	1
sounds like lot liberals want america know truth	0
literally skinny stop playin	0
soros paid antifa like christian conservatives sure	0
thank mama cookie long distance cousin treat well	0
windrush victim campaigner sarah oconnor dies aged sad made womans live misery tory hostileenvironment	0
yes watching elitist prima donna toss tantrum court called amp penalized cheating getting coaching pretty entertaining coach even admitted coaching back regularly scheduled sanity rule law amp accountability	0
plus know likes kiss singing dont judge	0
people think gun control stop violence	0
adorable	0
someone say meth course	0
pulling stops holds barred battle tacticstrategy usual secularprogressive democrat msm archetype countryconstitution lost conservatives republicans must say mrms nice person	0
ok please understand one dubakoor mumtaj dubakoor army support certain things get saying dont understand survived point fit title winner	1
unafraid unscathed bringing hope change around world maga nokosoko north koreas kim jongun agrees shut missile site bbc news	0
yeahhhhh admit destiny cayde liker god made suck	1
doesnt myth mean something isnt true hmmmm hollyweird liberals stick make believe world dummies	1
maybe havana antifa race war amp slam dildos others butts	1
good luck maga votered	0
attention publicizing target list antifa twitter account list high profile names names random trump supporters please check list name report	0
dying party split nationalists conservatives going hold much longer real cohesive ideology anymore simply team better team	0
	0
liberals want hear juanita broderick ignored liberals want hear keith ellisons accuser double standard	1
thank addressing question husband made booking period personal data sale	0
