sentence	label
maybe havana antifa race war amp slam dildos others butts	1
another village missing idiot	0
hospital personnel shot dead wisconsin winchester pumpaction shotgun nra blames gun control laws	2
least honest wanting nationwide gun ban give credit place show gun control works environment controlled access course gun control works access place metal detectors	1
please kill antifa hand	0
holder removed jailed years ago	2
really thought god rap come back	0
evidently big narcissist	0
thats messed walkaway congresswoman waters zero control demon within thats happens amp stupid greedy folks willfully submit souls devil satan defeated americafirst maga	1
obviously care ruin due attacks conservatives left control blind	1
well would allow still protest stop speaker group really hitler early time nazi party group known ss would beat politicians people agree sounds familiar smells like antifa	1
state sponsored kids protesting amendment youth invasion dc took place young fascistsintraining corralled dc demand govt strip away liberties name gun control	2
followed patriots already got rest appreciate follow back maga	1
leveon bell thats dumbest argument compare college played best season yds tds collins conners first year starting starting much better collins	0
hard believe female accusersever againespecially liberals lie personal political gain	1
fake queen	0
yes stalking weirdo would tweets video games hurt feelings go ahead block lol	0
fat ass liar strikes neverforget	0
see racist though see undeserving overbearing crybaby throwing tantrum like serena williams pull maybe racist sees	0
gon na get bitten	0
physically threatening boys us completely slandering name wasnt im honestly saying shit ya course like ya said fucked least owned apologized death threats way line	0
gun control racist	2
love liberals say word debunked kind like hillary said said anger forosity knew meant bullshit	1
nurse valuable end watched play rarely gets puck first attempt also spectacular defensively worth holding	0
trump fans bullies antifa steve scalise resists movement need get cnn msnbc	1
ask sort gun control nothing seem really good nothing	1
omfg	1
yet another really stupid take erick single issue thinkeroverturning roe anything gets way mocked trivialized core beliefs	1
democrats let animals like country get power back	1
gun control scientists disgrace license publish revoked	1
lmao fuck u bae	0
hallo please find unroll thread moores failure deal foul smear good example new rules could apply firs fakenews maga see soon	0
mean exactly like conservatives attacking current victim	0
lol troll im glad went away u trump supporters told gtfo thank god got real superstar going actually fight everyone matter choose vote awesome please join us rly need ur help	0
obama wall wont keep terrorists away obama gun control prevent killings criminals terrorists walkaway	1
company company sucks know bypass beat sucking cuck	2
pathetic	0
go mike way sarah best lair	0
yet fat	0
empty soul	0
jesus evilest cunts	0
ha really see hypocrisy antifa obvious drunk cool aid	0
chicago already thf strictest gun control laws country	2
hollywood media make jokes jesus christians think hilarious turn every innocent joke conservatives tell outrage typical reprobates	2
deep corruption puerto rican government cause ppls misery billions sent amp dont foresight harden amp secure power system island likely get hit puerto ricans government ms fault	0
many dumb arguments gun control may dumbest common	0
liberals address insult attack	1
birch da fuck	0
forget deletion social media doubt antitrump pro antifa noone asking fix year day genuinely gullible one beer somehow ended bedroom implausible	1
zero evidence gaff jobs thing hijinx chicanery two buffoons platforms morals conservatives cdnpoli	1
yeah sucks honestly plan coming back variety rather fortnite opportunities nice start esport another game approve fortnite esport	0
according liberals yes guilty unless proves innocence wait man trusted ever dare make claim woman women sins man perfect	1
rahm emanuels failure ill omen democrats tcot maga rednationrising	0
thought funny lacked talent comedian	0
see like lust girl long blond hair bare midriff micromini realize years older could great grandmother today people wonder love legs show grew	0
beware rightist false flags like narrative ok sign white nationalist dog whistle theresistance resist bashthefash antifa smashfascism	2
nah antifa good get killed	1
conservatives blindly follow fascist	0
fuck daddy	0
concert goers massacred fort worth ruger nra calls gun control research unethical	0
keep telling lie think liberals believe focusing need yet many million sitting veterans budget intention funding	2
nerd	0
since lebron eat ass guess	0
game sucks	2
cant remember happened cant remember happened cant remember got liar feminazi go lengths smear man liar	0
excuse got hurricane expecting tract houses lean tos expecting honorable people liketrump corruption continue vote wake flushing swamp need flush swamp	0
almost forgot nigga ya past life lmao	0
fox news campaigning fairness doctrine republicans using power congress force private companies broadcast whatever gop says truth nra tv pro gun control nra members	2
cincinatti well shootings keep happening stupid gun laws time americans woke something keep happening god prayers going help proper gun control laws	0
end sm space hears voice head asking hes kryptonianturns around mm mm explains situation amp asks refuge earth sm puts hand amp introduces shaking hand says welcome earth cut black	2
funniest thing easily triggered well ugly	0
anyone concerned mass gun killings reject gun control outright unconstitutional especially since first years twentieth century alone governments killed million people facilitated gun control	2
shitt pitt perfect wiping seat	0
think altright going burn jeans next	0
using thoughtconspiracy would safe argue liberals concocted stalling order help liberals interest perfect pawn would play fearful process thereby helping confuse amp prolong process	2
mass shooters liberal white men liberal control gun control	1
good grief relief get rid antifa	0
joke another dirty tricks democrat george soros payroll democrat party knows shame maga	1
also thinks success nothing gun control kids murdered schools people need possess guns	0
liar like hilary clinton	0
special kind antifa learns correct spelling tomorrow ffs proper shitting	0
liberals live double standards look monica lewinski branded liar whore even produced evidence good ole bill democrat fucking insane	0
would know gun control worked refuse try anything	2
blight womanhood grow	0
lying pm like bliar end tory party amp tory party member remainers refuse discuss tory party please get rid total liar hooks corrupt convict	1
fascist version antifa	0
experience problem like think suffering antipernickety bastard disorder	0
peterlook liberal self making senseit little suspicious everyone making last minute claims kavanaugh trump hating liberalsand course zero proof anythingjust like collusion obsession	0
blindly ignorant shameful people deep thinking lack vote	0
secondamendment saw dems kavanaugh hearings bring common sense gun control time time chicago guy chicago toughest gun laws country yet gun violence capital usa dick	1
john kerry loser traitor country understand voted party bec hated iran deal working iran gov worst acting agent foreign government amp isnt registered investigated	0
wow never thought would see left actually admitting want shut free speech unless least admitting facist create facist groupsantifa kkk	1
arrest immediately wicked crazy democrat	0
antifaanonymous coming	0
pope complicit make mistake anyone harms child	0
listening juan williams five drives crazy ignorant man man get facts thank god jesse waters ladies	0
playing dirty way liberals win point shameless	1
point time think pres trump gives sht neither lol	0
im broke ass bitxh lol eveb better runs sleep like shes lying runs like feet going usain bolt xd get kicked lot	0
hell leftys talking say anything stop maga	1
worries antifa invites poses pics known neonazis smdh	0
dog fleas	0
every lie telling happened children guy man clearly believe shit like happened another stall tactic liberals	2
actually seems specific appears cbc saying opposing gun control covering child molestation catholic church wtf	2
take joke lefties behaviour disgusting drawn	0
empty headed bushie whore	0
couldnt catch letting saggy whitey bitch talkin like bitch eat dirt	0
az would put money sex underage kids	0
somehow trump divine prophecy helping wonderful things wanted take away womenfuck religion	0
democommunists allready destroyed america put men womens bathroom right child molestors n child killers n illegals rights americans u think im wrong bill say something besides kissing liberals asses	2
latino conservativesselfhating freaks	1
believe even getting death threats conservatives roll way plus amp attorneys bankroll soros	0
liar see clarence thomas confirmation never lieit always delay tacticnothing moredisgusting liberals game call politics	1
grew listening kids shit breaks heart rip	2
know sure golfing maybe tweeting like lunatic bet planning next magadingdong rally never president brainwashed realize	0
bird ass	0
excommunicate guy thatll teach em	0
yes democrats hate	0
totally follow whack job liberalsunhinged dangerous thank	1
ajsjjsjdkkdjdk want much hed literally tell die id obey	1
guy legit case trump fuck sexual orientation laws yet dude needs take court say someone describes one ama sue people	0
cant accuse someone something like amp expect come forward amp testify suppose believe amp crucify sure u liberals think	1
unfortunately gun control long game house always wins	0
conservatives care democracy opinions called racist rights jeopardy anyone else give shit sad	0
cant sheep follow along fake news put everyone think kkk antifa wannabes	2
need go away one wants see media advocating gun control unseemly	0
chance sexually assault girls high school would explain eager overlook possibility horrid crime amp insist doublestandard benefits amp altright amp back justifications wi obvious lies bet right	1
ummm one people shouldnt	0
wench something must spout drivel wan na bet someone gives beating first let us see parking lot one else around black women much better find white people much brighter	0
virtue signaling playing young minds also thinks weaponise attempt stop brexit disgraceful vile man honest care uses get wants	0
holder ethically challenged ag ever total disgrace office	0
nothing left wing unhinged liberal jerk needs shut fup life time bs	0
gop voters better wake hell rnc poll finds gop voters worried midterms bad via maga tuesdaythoughts	1
shit right also showed polish friends quite triggered	2
support fight justice hold responsible accountable hypocrisy beyond moral standard wheres outrage yet hide behind vail gun control leftists propaganda beginning shame	2
coward	0
texan would grant automatic citizenship illegal immigrants never elected	2
justsayin majority thinking fakeoutrage amp lies lunaticleft never seen many sore losers throwing tempertantrums almost years embarrassing maga	1
crazy people care use suppose leftist says bad gun sounds like disappointed way scream gun control	1
brilliant bigotry	2
lol mean	0
dint pay attention hershe yet say anything interest meme jerk	0
yall need know human knew mac many years relationship shes grieving doesnt post something prove fault died like damn stop blaming poor girl addiction killed	0
keep banging nationalist nonsense democrats win midterms raise taxes able get page everyone else universal health care gun control save countless lives trumpsters like learn eventually	1
let come dc testify safely surrounded dncs street army antifa even let wear cute black masks way americans see diversity democrat party protect good	1
bitch took four years jdkdkdd	0
spreading fakenews fyi maga	2
know antifa pretty dumb	0
far beyond tax returns crap affects americans liberals stupid wake understand whats really going step aside adults	1
yes bitch	0
alternative people died pr freakin hurricane half wit	0
dick durbin figures lies often enough people start believe right leftist dictatorship playbook	0
maybe pay protests since mnuchin shut slush fund probably going pay antifa riots busing people weapons	1
rapid dogs	1
show plenty lefties like antifa getting pummeled like weak punks lol	1
conservatives suddenly realize juvenile offenders deserve leniency president regularly refers teenage gang membersas animalsand past called forimposing death penalty alleged teen rapists	1
stratadata ai data hairball tdavis touring application cognitive machinelearning techniques speed governance data	1
yeah keep mocking right yes vote	2
let go said take away ammo talking gun control said maybe blurted mean proving leftist fine still like trust anymore	2
let leftist democrats riot streets antifa counterparts	0
liberals really displaying hate amp message division republicans really need take advantage welcoming disgusted democrats enough party amp want solid policy amp insults	1
hitler would proud david hogg	1
stop democrats stop using victims school shootings gun control agenda	2
im girl said fuck nah wish money concert thatd reaction lmao	0
maga christineford tcot ccot americafirst patriots brettkavanaugh say bill clinton whitewater imperative make pattern revolting behavior clear piece painful piece indeed	0
gtcomparing antifa weaklings wwii soldiers	1
may well ignore since giving attention craves adorable child never good enough body nude love scenes searching attention desires bovine fecal posts	0
comments defending drug fords blatant abuse power completely laughable liberals bias bias tell must ndp rich downtown area polled homan thanks guys needed good laugh	1
since dems want stand soapbox kavanaugh exactly addressing sexual slush fund covering backsides maga	2
sounds like hot lesbian sex	0
feinstein schumer political assassins thank heavens able give gop courage fold far conservatives need hit back hard political criminals	1
disgrace	0
move ahead kavanaughs nominatin without information committing ethical legal violationu violated constitution merrick garland amp horrible candidate says precedent overturned wait info amp sure	0
fuck cunt try size	0
maybe trump still around democratic challenger invite women trump threatened raped debates fear bobwoodward theresistance magats maga	0
false intrusion constitutional rights honest americans nothing curb violent crime gun control violence lawabiding citizen	2
oh carmen fricking cute	0
threat dangerousdemocrats maga	2
bitch built like could beat ass wants	0
pussy ass different times never black life ever ate chittlerings lol	1
mon bye bitches suffisait	1
obvious hit job kavannah going workand liberals continue reveal demonic figures	1
cnn trash everyone brain knows	2
please whatever youve smoking thats top quality shit coming	1
gun control measures fast furious directed ffl dealers violate law allow straw purchases knowingly allowed firearms sold criminal organizations	1
talking comment nick fascist brittany means nothing like said antifa	0
family maga care apart populace get distracted pop culture completely zero idea going world tell amp even care lion amongst lambs	1
everyone washington including john heinz uncovered corrupt elites arelike cockroaches running light	2
get shit together	2
liberals complain time evaluate records sit anonymous letter weeks wait like criminal assassinate character good man enddespicable	1
quiet shedevil	0
scarred life lol maga	0
pointing umpire calling thief berating walking fast toward official calling fing moron think clear needs help man perhaps	0
democrats thugs	2
